"participant","condition","block","trial_n","rt","accuracy"
556,2,1,15,416,1
556,2,1,16,609,1
556,2,1,17,475,1
556,2,1,18,499,1
556,2,1,19,441,1
556,2,1,20,418,1
556,2,1,21,484,1
556,2,1,22,435,1
556,2,1,23,420,1
556,2,1,24,357,1
556,2,1,25,418,1
556,2,1,26,387,1
556,2,1,27,398,1
556,2,1,28,505,1
556,2,1,29,447,1
556,2,1,30,481,1
556,2,1,31,424,1
556,2,1,32,441,1
556,2,1,33,426,1
556,2,1,34,492,1
556,2,1,35,379,1
556,2,1,36,463,1
556,2,1,37,623,1
556,2,1,38,424,1
556,2,1,39,370,1
556,2,1,40,430,1
556,2,2,1,2560,1
556,2,2,2,721,1
556,2,2,3,527,1
556,2,2,4,812,1
556,2,2,5,566,1
556,2,2,6,833,1
556,2,2,7,538,1
556,2,2,8,678,1
556,2,2,9,550,1
556,2,2,10,866,1
556,2,2,11,489,1
556,2,2,12,552,1
556,2,2,13,524,1
556,2,2,14,1074,0
556,2,2,15,888,1
556,2,2,16,654,1
556,2,2,17,798,1
556,2,2,18,545,1
556,2,2,19,613,1
556,2,2,20,487,1
556,2,2,21,494,1
556,2,2,22,565,1
556,2,2,23,897,1
556,2,2,24,840,0
556,2,2,25,623,1
556,2,2,26,569,1
556,2,2,27,540,1
556,2,2,28,705,1
556,2,2,29,791,1
556,2,2,30,897,0
556,2,2,31,775,1
556,2,2,32,954,0
556,2,2,33,957,1
556,2,2,34,723,1
556,2,2,35,670,1
556,2,2,36,757,1
556,2,2,37,609,1
556,2,2,38,1043,0
556,2,2,39,650,1
556,2,2,40,642,1
555,1,1,1,1963,1
555,1,1,2,828,1
555,1,1,3,599,1
555,1,1,4,2255,1
555,1,1,5,508,1
555,1,1,6,592,1
555,1,1,7,502,1
555,1,1,8,817,1
555,1,1,9,1036,1
555,1,1,10,770,1
555,1,1,11,610,1
555,1,1,12,675,1
555,1,1,13,808,1
555,1,1,14,641,1
555,1,1,15,663,1
555,1,1,16,697,1
555,1,1,17,485,1
555,1,1,18,621,1
555,1,1,19,728,1
555,1,1,20,497,1
555,1,1,21,603,1
555,1,1,22,484,1
555,1,1,23,540,1
555,1,1,24,415,1
555,1,1,25,479,1
555,1,1,26,453,1
555,1,1,27,469,1
555,1,1,28,624,1
555,1,1,29,510,1
555,1,1,30,539,1
555,1,1,31,454,1
555,1,1,32,663,1
555,1,1,33,578,1
555,1,1,34,685,1
555,1,1,35,845,1
555,1,1,36,862,1
555,1,1,37,705,1
555,1,1,38,1180,1
555,1,1,39,671,1
555,1,1,40,1389,1
555,1,2,1,838,1
555,1,2,2,1484,1
555,1,2,3,1237,1
555,1,2,4,771,1
555,1,2,5,553,1
555,1,2,6,806,1
555,1,2,7,830,1
555,1,2,8,772,1
555,1,2,9,565,1
555,1,2,10,1437,1
555,1,2,11,619,1
555,1,2,12,910,1
555,1,2,13,644,1
555,1,2,14,738,1
555,1,2,15,575,1
555,1,2,16,802,1
555,1,2,17,957,0
555,1,2,18,739,1
555,1,2,19,878,1
555,1,2,20,828,1
555,1,2,21,736,1
555,1,2,22,728,1
555,1,2,23,712,1
555,1,2,24,854,1
555,1,2,25,662,1
555,1,2,26,753,1
555,1,2,27,655,1
555,1,2,28,1039,0
555,1,2,29,592,1
555,1,2,30,685,1
555,1,2,31,870,1
555,1,2,32,1353,1
555,1,2,33,671,1
555,1,2,34,2181,1
555,1,2,35,2648,1
555,1,2,36,1177,1
555,1,2,37,845,0
555,1,2,38,904,1
555,1,2,39,587,1
555,1,2,40,745,1
552,2,1,1,916,1
552,2,1,2,943,1
552,2,1,3,896,1
552,2,1,4,666,1
552,2,1,5,588,1
552,2,1,6,731,1
552,2,1,7,515,1
552,2,1,8,695,1
552,2,1,9,858,1
552,2,1,10,710,1
552,2,1,11,554,1
552,2,1,12,486,1
552,2,1,13,541,1
552,2,1,14,542,1
552,2,1,15,532,1
552,2,1,16,499,1
552,2,1,17,714,1
552,2,1,18,608,1
552,2,1,19,675,1
552,2,1,20,469,1
552,2,1,21,589,1
552,2,1,22,641,1
552,2,1,23,601,1
552,2,1,24,520,1
552,2,1,25,501,1
552,2,1,26,494,1
552,2,1,27,405,1
552,2,1,28,444,1
552,2,1,29,396,1
552,2,1,30,539,1
552,2,1,31,474,1
552,2,1,32,335,1
552,2,1,33,874,0
552,2,1,34,677,1
552,2,1,35,552,1
552,2,1,36,650,1
552,2,1,37,533,1
552,2,1,38,498,1
552,2,1,39,442,1
552,2,1,40,610,1
552,2,2,1,682,1
552,2,2,2,908,1
552,2,2,3,516,1
552,2,2,4,857,1
552,2,2,5,571,1
552,2,2,6,494,1
552,2,2,7,444,1
552,2,2,8,438,1
552,2,2,9,490,1
552,2,2,10,1067,0
552,2,2,11,711,1
552,2,2,12,500,1
552,2,2,13,676,1
552,2,2,14,508,1
552,2,2,15,661,1
552,2,2,16,526,1
552,2,2,17,1110,0
552,2,2,18,630,1
552,2,2,19,549,1
552,2,2,20,741,1
552,2,2,21,560,1
552,2,2,22,458,1
552,2,2,23,764,1
552,2,2,24,1274,1
552,2,2,25,663,1
552,2,2,26,863,0
552,2,2,27,559,1
552,2,2,28,558,1
552,2,2,29,694,1
552,2,2,30,690,1
552,2,2,31,657,1
552,2,2,32,493,1
552,2,2,33,570,1
552,2,2,34,503,1
552,2,2,35,635,1
552,2,2,36,707,1
552,2,2,37,628,1
552,2,2,38,702,1
552,2,2,39,559,1
552,2,2,40,652,1
546,2,1,1,696,1
546,2,1,2,701,1
546,2,1,3,754,1
546,2,1,4,679,1
546,2,1,5,604,1
546,2,1,6,546,1
546,2,1,7,792,1
546,2,1,8,1625,1
546,2,1,9,681,1
546,2,1,10,789,1
546,2,1,11,778,1
546,2,1,12,1069,1
546,2,1,13,625,1
546,2,1,14,619,1
546,2,1,15,608,1
546,2,1,16,663,1
546,2,1,17,576,1
546,2,1,18,724,1
546,2,1,19,696,1
546,2,1,20,613,1
546,2,1,21,477,1
546,2,1,22,466,1
546,2,1,23,725,1
